"speciesname","sub_unit","speciescode","euringcode","codeeco","typeasso","season","region"
"Rallus aquaticus aquaticus","Europe & North Africa","A718",4070,"riversLakes","P","W","EU27"
"Recurvirostra avosetta","Western Europe & North-west Africa (bre)","A132-A",4560,"riversLakes","P","B","EU27"
"Recurvirostra avosetta","Western Europe & North-west Africa (bre)","A132-A",4560,"marineInlets","P","W","EU27"
"Recurvirostra avosetta","South-east Europe, Black Sea & Turkey (bre)","A132-B",4560,"riversLakes","P","B","EU27"
"Recurvirostra avosetta","South-east Europe, Black Sea & Turkey (bre)","A132-B",4560,"marineInlets","P","W","EU27"
"Regulus ignicapillus","","A318",13150,"woodlandForest","P","B","EU27"
"Regulus ignicapillus","","A318",13150,"woodlandForest","P","W","EU27"
"Regulus madeirensis","","A652",13153,"woodlandForest","P","B","EU27"
"Regulus regulus","","A317",13140,"woodlandForest","P","B","EU27"
"Remiz pendulinus","","A336",14900,"riversLakes","P","B","EU27"
"Riparia riparia","","A249",9810,"riversLakes","P","B","EU27"
"Rissa tridactyla","","A188",6020,"sparselyVegetated","P","B","EU27"
"Rissa tridactyla","","A188",6020,"coastal","P","W","EU27"
"Saxicola dacotiae","","A437",11380,"heathlandShrub","P","B","EU27"
"Saxicola rubetra","","A275",11370,"wetlands","P","B","EU27"
"Saxicola torquatus","","A276",11390,"heathlandShrub","P","B","EU27"
"Saxicola torquatus","","A276",11390,"heathlandShrub","P","W","EU27"
"Scolopax rusticola","Europe/South & West Europe & North Africa","A155",5290,"woodlandForest","P","B","EU27"
"Scolopax rusticola","Europe/South & West Europe & North Africa","A155",5290,"woodlandForest","P","W","EU27"
"Serinus canaria","","A450",16420,"sparselyVegetated","P","B","EU27"
"Serinus serinus","","A361",16400,"urban","P","B","EU27"
"Sitta europaea","","A332",14790,"woodlandForest","P","B","EU27"
"Sitta neumayer","","A445",14810,"sparselyVegetated","P","B","EU27"
"Sitta whiteheadi","","A331",14700,"woodlandForest","P","B","EU27"
"Somateria mollissima","","A063",2060,"sparselyVegetated","P","B","EU27"
"Somateria mollissima","","A063",2060,"shelf","P","W","EU27"
"Stercorarius longicaudus","","A174",5680,"heathlandShrub","P","B","EU27"
"Stercorarius parasiticus","","A173",5670,"sparselyVegetated","P","B","EU27"
