"bgreporthash","monitoring_title","monitoring_year","monitoring_reference"
"c03ec40e40e4ede4dedb99b8d7479923","Projecto Arenaria: iniciativa da Unidade de Investigação em Eco-Etologia (ISPA – Instituto Universitário), do Museu Nacional de História Natural e da Ciência e da SPEA para melhorar o conhecimento da distribuição, abundância e tendências populacionais das aves do litoral marinho português durante o Inverno, com destaque para as aves limícolas. Teve início no Inverno 2009/10, com um censo de todo o litoral nacional. Em 2010-11 e 2011-2012 foi feita a monitorização anual de algumas dezenas de quadrículas classificadas como prioritárias, para aferir tendências populacionais.",2013,"https://sites.google.com/site/projectoarenaria/Home Catry, P., Lecoq, M., Granadeiro, J.P. & Ramírez, I. 2010. Projecto Arenaria: distribuição e abundância de aves nas praias e costas de Portugal. Pardela 39: 9-11. Lecoq, M., Catry, P., Granadeiro, J.P. & Ramírez, I. 2010. Shorebird populations wintering on the non-estuarine coast of Portugal: results of the first countrywide survey. Annual International Wader Study Group Conference. Lisbon, 1-4 October 2010. Lourenço PM, Catry P, Lecoq M, Ramírez I, Granadeiro JP 2013. The roles of disturbance, geology and other environmental factors in determining abundance and diversity in coastal avian communities during winter. Marine Ecology Progress Series 479: 223-234. Lecoq, M., Lourenço, P.M., Catry, P., Andrade, J. & Granadeiro, J.P. 2013. Wintering waders on the Portuguese Lecoq, M., Lourenço, P.M., Catry, P., Andrade, J. & Granadeiro, J.P. 2013. Wintering waders on the Portuguese mainland non-estuarine coast: results of the 2009–2011 survey. Wader Study Group Bull. 120(1): XX–XX."
"c03ec40e40e4ede4dedb99b8d7479923","RAM (Rede de observação de Aves e Mamíferos Marinhos): rede de observação de aves que se iniciou ao largo das costas Cantábricas e Galegas e actualmente foi alargada a toda a Península Ibérica, incluindo a costa portuguesa e os arquipélagos da Madeira e Açores.",2012,"http://www.spea.pt/pt/estudo-e-conservacao/censos/dias-ram/ Sengo, R., N. Oliveira, J. Andrade, N. Barros, I. Ramírez. 2012. Três anos de RAM em Portugal Continental (2009 - 2011). Sociedade Portuguesa para o Estudo das Aves, Lisboa (relatório não publicado)."
"c03ec40e40e4ede4dedb99b8d7479923","Projeto de Avaliação da Interação entre a Avifauna e a Rede de Transporte e Distribuição de Energia Elétrica dos Açores (2007-2008)",2009,"http://centropriolo.spea.pt/fotos/editor2/relatorio_avifauna_transportes.pdf"
"c03ec40e40e4ede4dedb99b8d7479923","Atlas do Priolo: Programa de monitorização realizado de 4 em 4 anos com o objetivo de avaliar o estado atual da população de Priolo (distribuição e abundância)",2008,"http://lifepriolo.spea.pt/fotos/editor2/f6_life_priolo_spea.pdf"
"c03ec40e40e4ede4dedb99b8d7479923","Estudo com RADAR das Populações nidificantes de Aves marinhas no Corvo. Relatório não Publicado. Oeiras",2010,"https://docs.google.com/file/d/0B7oQsdlYzifdQlpERkhGcHh4dm8/edit?usp=drive_web&pli=1"
"28601ee5d42963e2d27387bbb7b71619","Monitorizarea națională de iarnă a păsărilor acvatice 2008 - 2013",2013,"http://old.sor.ro/index_IWC.htm"
"28601ee5d42963e2d27387bbb7b71619","Monitorizarea păsărilor comune 2008 - 2013",2013,"http://monitoring.sor.ro/descrierea_programului.htm"
"28601ee5d42963e2d27387bbb7b71619","Monitoringul național al populațiilor de păsări de pe lista națională de referință penru raportare pe Art 12 Directiva Păsări 2012 - 2014",2013,"Sistemul national de gestiune si monitorizare a speciilor de pasari din România în baza articolului 12 din Directiva Pasari” Centrul Național de Dezvoltare Durabilă (CNDD), Societatea Ornitologică Română (SOR/BirdLife Romania) și Asociația de Protecția Păsărilor și a Naturii “Grupul Milvus” http://www.ncsd.ro/monitorizare_pasari_ro.html"
"28601ee5d42963e2d27387bbb7b71619","Monitoringul populațiilor de păsări din România",2008,"Desemnarea Ariilor de Importanță Avifaunistică din România – Important Bird Areas in Romania Societatea Ornitologică Română (SOR/BirdLife Romania) și Asociația de Protecția Păsărilor și a Naturii “Grupul Milvus” Papp T., Fântână C. Editori (2008) – Ariile de Importanță Avifaunistică din România – publicație comună a Societății Ornitologice Române și a Asociației “Grupul Milvus”"
"28601ee5d42963e2d27387bbb7b71619","Sistemul naţional de gestiune şi monitorizare a speciilor de păsări din România în baza art. 12 din Directiva Păsări",2013,"Art. 12 reporting. Web page and publication under progress. Draft information at http://www.ncsd.ro/monitorizare_pasari_ro.html"
